status	file	note
converted	alethic_pluralism_role_reference_metaphysics_truth.pdf	pdftotext_layout
converted	bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf	pdftotext_layout
skipped	bender_koller_2020.pdf	md_exists
skipped	boyd1990.pdf	md_exists
skipped	boyd1991.pdf	md_exists
skipped	boyd1999.pdf	md_exists
skipped	coelho_mollo_milliere_2023_vector_grounding_problem_arxiv2304.01481.pdf	md_exists
converted	gamester_2021_shopping_for_truth_pluralism.pdf	pdftotext_layout
converted	grindrod_2024_large_language_models_linguistic_intentionality.pdf	pdftotext_layout
converted	hoffman_2015_interface_theory_perception.pdf	pdftotext_layout
converted	hoffman_2015_interface_theory_perception_springer.pdf	pdftotext_layout
converted	lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.pdf	pdftotext_layout
skipped	mahowald-etal-2024-dissociating-language-thought.pdf	md_exists
converted	mallory_2026_teleosemantics_for_neural_word_embeddings.pdf	pdftotext_layout
skipped	mandelkern_linzen_2024_do_lm_words_refer_acl.pdf	md_exists
skipped	martinez_2017_stable_property_clusters_and_their_grounds_S0031824800010126.pdf	md_exists
converted	martinez_2019_usefulness_drives_representations_to_truth.pdf	pdftotext_layout
skipped	millikan2017-ch1.pdf	md_exists
skipped	millikan_1990_compare_contrast_dretske_fodor_millikan_teleosemantics.pdf	md_exists
converted	pedersen_2012_recent_work_on_alethic_pluralism.pdf	pdftotext_layout
converted	price_2023_global_expressivism_and_alethic_pluralism.pdf	pdftotext_layout
converted	chalmers_2024_thought_sensory_grounding_llms.pdf	pdftotext_layout_after_odl_failure
converted	crane_2021_two_approaches_to_natural_kinds.pdf	pdftotext_layout_after_odl_failure
converted	khalidi_2015_natural_kinds_crosscutting_categories.pdf	pdftotext_layout_after_odl_failure
converted	magnus_2015_taxonomy_ontology_natural_kinds.pdf	pdftotext_layout_after_odl_failure
converted	merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.pdf	pdftotext_layout_after_odl_failure
converted	pedersen_2006_mixed_inferences_alethic_pluralism.pdf	pdftotext_layout_after_odl_failure
converted	piantadosi_hill_2022_meaning_without_reference_llms.pdf	pdftotext_layout_after_odl_failure
converted	wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.pdf	pdftotext_layout_after_odl_failure
converted	brigandt_2020_kinds_without_natural_kinds.pdf	pdftotext_layout_after_odl_failure
converted	slater_2015_natural_kindness.pdf	pdftotext_layout_after_odl_failure
