action	project_path	central_path
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/alethic_pluralism_role_reference_metaphysics_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/alethic_pluralism_role_reference_metaphysics_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/alethic_pluralism_role_reference_metaphysics_truth.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/alethic_pluralism_role_reference_metaphysics_truth.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/boyd_2019_rethinking_natural_kinds_reference_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/boyd_2019_rethinking_natural_kinds_reference_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/boyd_2019_rethinking_natural_kinds_reference_truth.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/boyd_2019_rethinking_natural_kinds_reference_truth.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/chalmers_2024_thought_sensory_grounding_llms.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/chalmers_2024_thought_sensory_grounding_llms.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/chalmers_2024_thought_sensory_grounding_llms.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/chalmers_2024_thought_sensory_grounding_llms.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/crane_2021_two_approaches_to_natural_kinds.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/crane_2021_two_approaches_to_natural_kinds.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/crane_2021_two_approaches_to_natural_kinds.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/crane_2021_two_approaches_to_natural_kinds.pdf
